freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
1,4,32,0,0.07,-1,8.75,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,13,0,0.07,-1,8.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
2,2,0,0,0.14,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,3,0,0.07,-1,10.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,8.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
6,3,0,0,0.43,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2
3,3,0,0,0.21,-1,8.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,2,0,0.07,-1,7.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
4,2,0,0,0.29,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,1,0,0.07,-1,6.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
2,4,10,0,0.14,-1,8.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,4,12,0,0.07,-1,8.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
67,3,12,1,4.79,-1,9.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
1,4,67,0,0.01,-1,9.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
1,4,67,0,0.01,-1,9.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,1,4
1,3,12,0,0.07,-1,9.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
2,3,12,0,0.14,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
12,2,0,0,0.86,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
2,3,1,0,0.14,-1,7.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,3,0,0,0.07,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,4,1,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
3,3,2,0,0.21,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,4,6,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,5,6,0,0.07,-1,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,7,6,0,0.17,-1,6.86,0.857,0.0,0.0,0.143,0.0,0.0,0.0,0,0,2
1,4,6,0,0.07,-1,7.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
2,3,12,0,0.14,-1,8.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,4,67,0,0.01,-1,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.01,6.5,7.14,0.857,0.0,0.0,0.0,0.0,0.143,0.0,0,0,2
69,4,67,0,1.03,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3
67,7,400,0,0.97,0.099,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,9,400,0,0.01,1.083,7.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,4,67,0,0.01,-1,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
17,6,67,1,0.25,0.238,8.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
2,7,67,0,0.03,0.292,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,8,67,0,0.01,0.325,8.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,11,67,0,0.06,0.283,8.55,0.818,0.0,0.182,0.0,0.0,0.0,0.0,0,0,1
37,4,67,0,0.55,-1,9.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
4,6,67,0,0.06,0.8,8.67,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
1,8,67,0,0.01,0.591,7.75,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
1,8,82,0,0.01,6.5,8.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,4,67,0,0.01,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,4,67,0,0.01,-1,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,3,12,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
41,3,12,0,2.93,-1,7.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
34,6,143,0,0.83,0.161,7.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
17,7,143,0,0.41,0.414,7.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
5,9,747,0,0.15,0.011,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,12,747,0,0.06,0.059,7.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,6,118,0,0.08,1.083,6.17,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
1,4,12,0,0.07,2.167,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
4,2,0,0,0.29,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,4,4,0,0.07,0.833,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,10.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
1,3,1,0,0.07,-1,9.33,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
1,3,0,0,0.07,-1,8.33,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,0,4
1,3,4,0,0.07,-1,8.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
2,1,0,0,0.14,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
3,1,0,0,0.21,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
2,2,0,0,0.14,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,11.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
2,2,0,0,0.14,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
3,2,0,0,0.21,-1,6.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,8.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
2,3,1,0,0.14,-1,5.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
1,4,8,0,0.07,-1,7.25,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
2,7,0,0,-1,-1,6.71,0.429,0.0,0.0,0.286,0.0,0.286,0.0,0,0,2
1,3,0,0,0.07,-1,10.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,1
2,3,17,0,0.14,-1,7.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,1
3,2,0,0,0.21,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,3,0,0.07,-1,7.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
1,1,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,1,0,0,0.07,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
2,2,0,0,0.14,-1,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,4,1,0,0.07,-1,4.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
1,4,1,0,0.07,-1,7.25,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
1,5,1,0,0.07,-1,6.2,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0,0,2
